Baustein-oa,will-mo
SPIEGEL-Interview-nk,beurteilt-ROOT
Akte-nk,befasste-ROOT
Gastmeier-sb,Berlin-nk
Präsident-nk,standen-ROOT
–-sb,betrachte-ROOT
Konzerte-sb,Mitarbeitern-oa
Angela-pnc,Röttgen-nk
Präsident-sb,lehnt-ROOT
York-nk,sprach-ROOT
Karriereorientierung-sb,Studienabschlüsse-nk
Empörung-nk,sorgte-ROOT
Wendler-sb,fragte-mo
Männer-sb,gibt-ROOT
Bücher-oa,gab-ROOT
DFB-oa,bleibt-ROOT
Vietnam-Gespräche-oa,sah-ROOT
Teile-sb,kommen-re
Kartellbildung-nk,denkt-ROOT
Hanau-nk,bespricht-mo
Berlinale-nk,vergeben-oc
Koran-sb,Hauses-nk
Bevölkerungsteile-sb,wählen-rc
Werbekampagne-nk,konnte-oc
Rechtsreferendarin-sb,Grundgesetz-oa
Krauß-sb,spielten-ROOT
Kopf-nk,umgeht-sb
Vizepräsident-sb,erweist-ROOT
Flüchtlingsthema-sb,Tagesordnung-nk
–-sb,Bloomberg-nk
Europa-sb,zeigt-ROOT
Paperlapapp-oa,sagt-ROOT
Hauptsache-sb,bedeutet-rc
Auswahlsituationen-nk,überzeugt-pd
Bürger-sb,müssen-cj
Markus-pnc,Kindern-nk
Alizadeh-sb,gewann-ROOT
Mesa-sb,Nachfolger-nk
Rennen-nk,hinzuzufügen-ROOT
Eltern-sb,ermordet-oc
Finale-nk,gewinnt-ROOT
Freitag-nk,sagte-ROOT
SAP-sb,Hopp-nk
Anführer-sb,Wirtschaftsminister-nk
Angst-nk,gleitet-ROOT
–-nk,geht-cj
Gelassenheit-sb,Tage-nk
Zelle-nk,entlassen-cj
Behörden-sb,Todesfall-oa
Türkei-sb,hält-ROOT
Höcke-sb,Fraktionschef-oa
Beleidigungen-nk,unterbrochen-oc
Rassismus-nk,will-ROOT
Börse-sb,Zusammensetzung-oa
Thema-sb,Hopp-nk
Gegner-sb,Nationalstürmer-nk
Evans-subtok,Immobilienmaklerin-nk
Teilnahmebereitschaft-sb,Aussagekraft-nk
Händchen-oa,darf-oc
Angst-sb,Pandemie-nk
Türkeiabkommen-nk,kann-ROOT
Ball-sb,schossen-ROOT
Montag-nk,stellte-ROOT
Auftritt-nk,müssen-ROOT
Manager-Riege-oa,funktionierte-oc
RKI-sb,Personengruppe-oa
Virus-oa,könntest-mo
DFB-sb,Wort-oa
Alizadeh-oa,teilgenommen-oc
Bodo-pnc,Sollte-sb
Pressekonferenz-nk,angekommen-oc
Fendrich-sb,Ende-nk
Netz-nk,stattgefunden-oc
Oscar"-Jury-sb,sah-ROOT
Erfolg-sb,auftrat-rc
Laune-nk,zusammengeschustert-cj
Dutzende-sb,umgeleitet-oc
Fragen-sb,Erliegen-nk
Behörden-sb,Asylersuchen-nk
George-pnc,spielte-ROOT
Botschaft-sb,Brüssel-nk
Blick-sb,Boden-nk
Habseligkeiten-nk,folgt-ROOT
Grippewellen-sb,könnte-ROOT
Bonn-nk,bezeichnet-oc
Kreuzbandrisses-nk,können-oc
Amt-sb,thematisieren-oc
Nordrhein-Westfalen-sb,betroffen-pd
Kriege-sb,Süden-nk
Elektroautos-sb,Gramm-nk
Konkurrent-sb,"-nk
Italien-nk,klagen-ROOT
Leuten-oa,erzählte-mo
Klinsmann-sb,Nase-nk
Mentoring-nk,sollte-ROOT
Coronavirus-pnc,Wuhan-nk
Fans-nk,enttäuscht-pd
Auslöser-sb,Bedeutung-oa
Menschen-sb,schaden-ROOT
Worten-nk,klang-ROOT
Leute-sb,Händchen-oa
Künstler-sb,gab-ROOT
Finanzierung-nk,müssen-ROOT
Verkehr-nk,nehmen-cj
Liebesballade-sb,Stunde-oa
Mannschaft-oa,kennt-ROOT
Argument-sb,Luxemburg-nk
Änderung-sb,könnte-ROOT
–-nk,geschafft-oc
Trainer-sb,gehört-oc
Sachlage-sb,kann-oc
Bemühungen-nk,beschlossen-oc
Säugetier-nk,berichten-mo
Weltgesundheitsorganisation-nk,wandte-ROOT
Politik-nk,ging-mo
Päts-nk,gefragt-pd
Einzelpersonen-oa,angreifen-oc
Gebärstreik-nk,fordern-ROOT
Schickeria-sb,brach-ROOT
Gefühle-oa,lebt-rc
Landtag-nk,ausgehandelte-nk
Wettspekulationen-nk,handelt-ROOT
Verweis-nk,möchte-ROOT
Spiel-sb,Grund-nk
Merz-subtok,leihen-oc
Deutschland-sb,Visum-nk
Anti-Tönnies-Plakaten-nk,lassen-ROOT
Rassismus-nk,solle-ROOT
Finanzminister-oa,können-ROOT
Deer-pnc,zog-ROOT
Boris-pnc,tun-oc
Frau-sb,gibt-ROOT
Orson-pnc,gedreht-oc
Gewichtung-sb,geschieht-ROOT
Wechsel-oa,prangt-rc
Brote-oa,lautete-ROOT
Möglichkeiten-nk,glaube-ROOT
Strapazen-nk,versuchte-ROOT
Migration-sb,schrieben-ROOT
Macho-pnc,Gegenreaktion-nk
Hopp-sb,vorgeworfen-oc
Verkehrsnetz-sb,Prozent-nk
Hauptfaktoren-oa,anheizen-rc
Reverse-nk,angeboten-oc
Dodelhat-oa,bleibst-ROOT
Führungsrollen-nk,wahrgenommen-oc
Informationen-sb,lassen-ROOT
Fällen-nk,geguckt-oc
Valves-nk,veröffentlichte-ROOT
Ausnahme-sb,Hopp-oc
Jörg-pnc,beginnen-oc
Verteilungskampf-sb,Viktoriasee-nk
Barcelona-nk,verlor-ROOT
Februar-nk,Angenommen-oc
Erwachsene-sb,Langeweile-nk
Davidson-nk,zeigt-ROOT
DFB-sb,darf-par
SPIEGEL+-sb,abgewickelt-oc
Jahren-nk,versucht-oc
Kampagne-oa,abgestimmt-oc
Einbußen-nk,macht-ROOT
Wochenende-nk,gemeldet-oc
SPIEGEL-sb,Natur-nk
Wandel-oa,beschleunigt-oc
Ende-oa,scheint-ROOT
Kinder-sb,Land-nk
Leitzinsen-sb,quellen-ROOT
Rainhard-pnc,eingerahmt-oc
Cardenal-sb,Jahren-nk
Republikanern-nk,unterstützt-oc
Protagonisten-nk,lädt-ROOT
Modellierung-nk,erstellen-oc
Rot-Rot-Grün-sb,fehlen-ROOT
Haltestelle-nk,sagte-mo
Steinzeit-nk,brachte-ROOT
DFB-sb,Aktion-nk
Szenario-nk,ausweiten-cj
Makavejev-oa,outete-ROOT
Hitler-nk,gaben-ROOT
Börse-sb,überprüft-ROOT
Menschen-nk,glaube-ROOT
Real-nk,verlor-ROOT
Verbindlichkeiten-sb,betrugen-ROOT
Games-sb,vorzustoßen-oc
Partner-nk,erhält-ROOT
Geflüchtete-nk,kann-oc
Erneuerer-nk,erscheinen-ROOT
Millionen-sb,Tempolimit-nk
Sky-nk,schäme-cj
Ähnliches-sb,lässt-ROOT
Hitler-nk,argumentierte-ROOT
Thun-nk,ausgewählt-oc
Hinweise-oa,gibt-ROOT
Studierende-sb,Narzissmus-Werten-nk
Pocher-sb,Heimquarantäne-nk
Tagen-nk,sammelten-ROOT
CDU-Politikerin-sb,Hilfetelefon-oa
Zusammenhang-nk,gefeiert-oc
Gerichtshof-sb,befasste-ROOT
Vorgehen-sb,unterteilt-oc
Finanzmärkte-sb,rückgebunden-oc
Faschismus-sb,Varianten-nk
Fantasy-sb,gealtert-ROOT
Vorstandschef-sb,stellte-ROOT
Geld-oa,müssen-cj
Augen-oa,verortet-pd
Teil-sb,sagte-ROOT
Samstag-nk,rief-rc
Macho-nk,lernen-ROOT
Nachrichten-Magazin-sb,Leserinnen-nk
Preis-sb,sinkt-cj
Neckel-nk,schotten-cj
Terroranschlag-nk,versuchte-rc
Studenten-sb,Japan-nk
Felix-pnc,Verdächtigen-nk
YouTube-nk,zeigt-ROOT
Medizin-oa,studieren-oc
Kräfte-sb,Demokraten-nk
Benjamin-pnc,Präsident-nk
Nancy-sb,Haus-nk
Koreaner-sb,erhalten-ROOT
Na-sb,gibt-rc
Ende-nk,verheiratet-pd
Bildern-nk,geht-ROOT
Jupp-pnc,darf-sb
Wendler-nk,kann-cj
Menschen-sb,Maske-nk
Hersteller-sb,Produktion-nk
Caligaris-pnc,Cesare-nk
Raum-oa,kann-cj
Engpass-sb,scheint-ROOT
Messwert-sb,schwächt-ROOT
Einigung-nk,kommen-oc
Gefühl-oa,gewarnt-oc
Fantasy-sb,wirkt-ROOT
Vortrag-oa,hielt-ROOT
Regierungschef-nk,beschlossen-oc
Ziel-oa,sagen-ROOT
Ausbeutung-oa,angeordnet-oc
Ende-nk,legen-ROOT
Vorräte-oa,berichtet-ROOT
Schengenvisum-nk,hält-ROOT
Vatikan-nk,suspendierte-ROOT
Economist-sb,liefern-oc
Quatsch-sb,dienten-ROOT
Nachjustierung-og,findet-ROOT
Gratis-Transport-sb,Maßnahme-nk
Kopftuch-nk,Darf-ROOT
Mitarbeiter-sb,beendet-oc
US-Soldaten-sb,unterstützt-oc
Anton-pnc,Passion-oa
Karl-Heinz-pnc,Hoffenheim-nk
Schmähungen-sb,betonte-ROOT
Demokratie-nk,ließen-ROOT
Hedgefonds-oa,stehen-ROOT
Mittelpunkt-nk,stehen-ROOT
Gefühls-Teil-oa,entstehen-ROOT
Zurzeit-oa,kommen-ROOT
Himmelblau-sb,Daten-oa
Artikel-nk,gab-ROOT
Wolfgang-pnc,Grupp-nk
Fraktionschef-sb,Voigt-nk
Abgeordnete-sb,Stimmen-oa
Mitglieder-nk,lässt-ROOT
Leute-sb,wollen-ROOT
Minister-sb,Deutschland-nk
Impulse-sb,Brief-oa
Gegenkandidaten-oa,erhielt-ROOT
Hoffmann-nk,entführt-ROOT
Amerikaner-sb,ging-rs
Italien-nk,überzeugte-rc
Macho-pnc,gelang-ROOT
Mailand-oa,stürzt-sb
Dietmar-pnc,Schiedsrichterteam-nk
Ramelow-sb,CDU-nk
Coronavirus-nk,isoliert-oc
Preger-nk,spielte-ROOT
Ridesharing-sb,Emissionen-nk
Menschen-sb,Vietnamkrieg-nk
Arbeitswelt-sb,Führungskräften-nk
Rand-nk,sagen-oc
Heilbronn-sb,meldete-ROOT
Caligari-oa,stellt-ROOT
Ursula-oa,verlaufen-oc
Hans-pnc,Mal-nk
Messi-sb,FC-nk
Pauline-pnc,basiert-ROOT
Miteinander-oa,sagte-ROOT
Bericht-oa,erarbeitete-mo
Schweden-nk,wissen-oc
Landesbehörde-sb,teilte-ROOT
Schiedsrichter-sb,unterbricht-ROOT
Schläger-nk,gekauft-oc
Wendler-sb,Oktoberfests-nk
Scheiß-sb,glauben-mo
Haufen-sb,zeigt-ROOT
Morrison-sb,wollte-mo
Sars-CoV-2-nk,sterben-ROOT
Welt-nk,könnte-ROOT
Amerika-oa,ging-rs
Kapelle-sb,liefert-ROOT
CDU-nk,enthält-ROOT
Narzissten-sb,Posten-nk
Radio-nk,sagte-ROOT
Bayern-pnc,Rummenigge-nk
Unreal-Engine-nk,läuft-ROOT
DFB-sb,bleibt-ROOT
Tony-pnc,informierte-re
MyKiosk-nk,finden-ROOT
Dönerimbiss-nk,beschloss-ROOT
Tamara-pnc,spart-ROOT
Gesellschaft-nk,entsteht-ROOT
Mitarbeiter-sb,bleiben-cj
Solidaritätsaktionen-sb,schoben-ROOT
Industriestandort-nk,bekennt-ROOT
Termin-oa,gibt-ROOT
27.2.2019-nk,könnte-ROOT
Fantasy-nk,verlangsamt-pd
Rauschen-sb,Luxemburg-Stadt-nk
Liedermacher-sb,wolle-oc
Professor-sb,Hazukashii-oa
Kunden-oa,blieben-ROOT
Johann-sb,Beziehung-nk
Montag-nk,öffnen-oc
Beginn-sb,Grünheide-nk
Viktoriasee-nk,tobt-ROOT
Söring-sb,gehört-ROOT
Professor-sb,gemeint-pd
Samstag-nk,vorzugehen-mo
Erkrankung-nk,sterben-ROOT
US-Präsident-sb,Obama-nk
Geflüchtete-nk,setzt-ROOT
Ehrenpräsident-sb,Beckenbauer-nk
Anspruch-oa,könne-ROOT
England-nk,blieben-ROOT
Provinzen-oa,zählt-ROOT
Orson-pnc,Spiele-nk
Kollegen-nk,tun-oc
Ausbreitung-sb,Karneval-nk
Vize-Geschäftsführer-sb,Berlin-Brandenburg-nk
SPIEGEL-Interview-nk,erinnert-ROOT
Hamaguchi-sb,Theorie-oa
Wirtschaftsminister-sb,März-nk
Gefühle-oa,gestritten-oc
Teil-sb,Atemwege-oa
Engel-sb,Wohnungen-oa
Prozent-sb,Strommenge-nk
Infektion-nk,gibt-ROOT
Verhoeven-nk,basiert-ROOT
Beine-oa,Legten-ROOT
Teilnahme-sb,Spielen-nk
Verbesserungen-oa,funktioniert-ROOT
Rechtsextremismus-nk,gehe-oc
Merz-sb,setzt-ROOT
(=-nk,glauben-ROOT
Caligaris-sb,Verbrechen-oa
Mehl-sb,gibt-ROOT
Buch-nk,beschreiben-ROOT
Gespräch-oa,sitze-cj
Einlaufen-nk,sagte-cj
Inseln-nk,genannt-par
Unternehmen-sb,Week-nk
George-pnc,drohte-ROOT
Größen-sb,TSG-nk
Leserinnen-nk,interessieren-ROOT
Flächen-sb,Bürste-nk
Gesundheitsamt-nk,wenden-oc
Emissionen-sb,gebündelt-oc
Verbreitung-sb,Handel-nk
Fünfzigerjahren-nk,eintrat-re
Kriegsverbrechen-nk,beruht-ROOT
Berlinale-sb,Stimmt-rs
Fans-sb,Samstagabend-nk
Valve-sb,Nachfolger-oa
Pinnbrett-nk,mitfahren-oc
University-nk,sprach-ROOT
Partie-sb,Samstag-nk
Ausbruch-nk,bremst-ROOT
Form-nk,schreibt-ROOT
Urlauber-oa,schrecken-ROOT
Wehrhaftigkeit-oa,entschlossen-oc
Nachspann-nk,griff-rs
Süden-nk,infiziert-pd
Thema-nk,wagt-ROOT
Zoopalast-nk,begeistert-pd
Abkehr-sb,schrieb-ROOT
–-oa,gehandelte-nk
Grippe-sb,kann-ROOT
Krise-sb,ziehen-oc
Höchstgrenze-nk,zurückbesonnen-oc
Frankfurt-sb,Behinderungen-oa
Reich-sb,Überrascht-oc
Dittrich-sb,Presseabteilung-nk
Asylantrag-oa,gestellt-oc
Tieren-nk,gelang-ROOT
Umfragen-sb,unterstützt-oc
Behrens-nk,gelaufen-oc
Start-nk,trainiere-oc
Nasa-sb,konnte-ROOT
Vietnamkrieg-nk,sagte-ROOT
Raphael-pnc,Chancen-oa
Partie-sb,Platz-oa
Kritik-sb,gefeiert-oc
Richter-nk,einsperren-oc
Walter-pnc,ließ-sb
DFB-sb,gebracht-oc
Sellner-sb,identifizieren-oc
Deggerich-sb,Jahren-nk
Festland-nk,mitteilte-mo
Oliver-pnc,wirkte-ROOT
Hans-pnc,besagt-ROOT
Besuch-oa,pflegen-ROOT
Mittwochabend-nk,machen-oc
Anhänger-sb,angekündigt-oc
Mailänder-sb,Shopping-Passage-oa
Shuttle-nk,gesetzt-oc
Story-pnc,Drehbuch-nk
Anstaltsleiter-sb,Delluc-nk
Hause-nk,bleiben-oc
Jury-nk,vermeiden-oc
Coronavirus-nk,kam-ROOT
Selbstfindungsphase-nk,richten-cj
Projekte-sb,Ankara-nk
Zivilschutzchef-sb,stieg-ROOT
Militärgericht-sb,versuchte-ROOT
Test-oa,erteilt-ROOT
Plagiat-Verdacht-nk,ging-ROOT
Remake-sb,nutzt-ROOT
Song-nk,kamen-ROOT
EU-Länder-sb,Schinas-nk
Gegenreaktion-nk,schaffte-ROOT
Menschen-sb,Region-nk
the-pnc,Bundesstaaten-nk
Herz-nk,erschienen-par
Björn-pnc,teilte-ROOT
Geld-sb,beschreibt-ROOT
Daniel-pnc,Verbrechen-oa
Sexvideo-nk,zurückzog-cj
Verein-sb,schäme-ROOT
Leute-sb,Label-nk
Günter-pnc,Lage-nk
Kritiker-nk,nutze-ROOT
Wuppertal-nk,ausgezeichnet-oc
Eindruck-oa,akzeptiert-oc
o.k.-subtok,drohte-ROOT
Probe-nk,sorgen-ROOT
Dietmar-pnc,kam-ROOT
Unsicherheit-sb,Zeit-nk
Abbruch-nk,ermittelt-ROOT
Stunden-nk,mutet-cj
Menschen-sb,aufgefordert-oc
Lieber-pnc,lass-ROOT
Oliver-pnc,Genre-nk
Erkrankung-sb,Todesopfer-oa
Pocher-sb,Bezeichnung-oa
Thema-nk,gegeben-oc
Millionen-sb,antwortet-ROOT
Wert-oa,ergeben-oc
Frage-nk,profilieren-oc
Vertretern-nk,möchte-ROOT
Leyen-nk,wollen-ROOT
Dublin-Fall-sb,Migration-nk
Umberto-pnc,gibt-ROOT
Spieler-sb,bereist-rc
Migration-nk,bleibt-ROOT
Andrea-pnc,Voraussetzungen-oa
Worte-sb,Gewalttaten-nk
Branche-nk,passt-mo
Halle-nk,passt-ROOT
Gewalttaten-nk,helfen-oc
Josephine-sb,gefeiert-oc
Menschen-sb,stand-ROOT
Moment-nk,befand-ROOT
Spielern-nk,geschieht-cj
Half-Life-nk,fehlte-ROOT
Ehrenpräsident-sb,verbindet-ROOT
Verkehr-sb,Jahreskarte-nk
Ermittler-sb,Lynchburg-nk
Remake-sb,Fantasy-nk
Ort-nk,versuche-ROOT
Handlung-sb,Konkurrenz-oa
"-nk,fokussieren-cj
Pocher-sb,Wendler-nk
Tendenzen-oa,stehen-ROOT
Ökostrom-sb,produziert-oc
Gesamtzahl-sb,kamen-ROOT
Menschen-sb,Land-nk
Signal-nk,könnte-cj
Martin-pnc,Bild"-Zeitung-oa
Unternehmer-sb,angezettelt-oc
Kilometern-nk,führt-oc
Sitzbänken-nk,lädt-ROOT
Stuhl-sb,sah-mo
Ausbreitung-nk,berichtet-oc
Kuroda-nk,unternehmen-oc
NO2-Belastung-sb,begrenzt-oc
Verhoeven-sb,Medizin-oa
Auftrag-sb,Straßenbahn-oa
Europapokalfinale-nk,aufrappelte-mo
Menschen-sb,häuften-ROOT
Filmtheoretiker-sb,erklärte-ROOT
Euro-nk,herabgesetzt-oc
Auto-nk,dient-mo
Vergrällter-nk,fliegt-oc
Juli-nk,eingehen-oc
Fratzscher-sb,Unternehmen-nk
Interpretation-sb,zieht-rc
Zugbegleiter-sb,abgerissen-oc
TV-Serie-sb,führte-rs
Bayern-nk,nannten-mo
Gefühl-sb,herrschte-ROOT
Symptome-oa,befalle-oc
Ruhe-nk,heut-mo
Geflüchtete-sb,Lesbos-nk
Altbauwohnung-sb,empfängt-ROOT
Niveau-nk,verpassen-mo
Cloud-nk,ausgestellt-oc
Faschismus-nk,schreibt-ROOT
RSS-Feed-nk,suchen-ROOT
Rolle-oa,spielen-oc
CO2-sb,stoßen-ROOT
Gehirnareal-sb,vorlegten-mo
Belle-pnc,gebucht-oc
Formaterfinder-nk,feierte-ROOT
Test-sb,zurückbesonnen-oc
SPD-sb,fehlen-ROOT
Alkoholprobleme-oa,trudelte-ROOT
Verteilungsschlüssel-nk,weiterhelfen-mo
Cesare-sb,Jahrmarkt-nk
Meile-nk,könnten-ROOT
Mitgefühl-nk,getestet-oc
Eco-sb,Vortrag-oa
Verband-sb,München-nk
Kurzum-sb,Scamp-nk
Unternehmen-sb,Angestellten-oa
Nudeln-sb,machten-oc
Sellner-sb,Kontakt-oa
Ermittler-sb,untersuchten-ROOT
Engel-sb,reinigt-ROOT
Friedrich-pnc,Ende-nk
Mönchengladbach-nk,bekam-mo
Teilnehmer-sb,Begrüßung-nk
Millionen-nk,wollten-mo
Ort-nk,leben-oc
Bauer-nk,ging-ROOT
Ort-nk,verschieden-oc
Augen-sb,Gesicht-nk
Landtag-nk,anführte-rc
GI-sb,vergewaltigten-cj
Nebelwand-nk,stehen-ROOT
Mario-pnc,Landtag-nk
Steuerreformer-nk,zahlt-ROOT
Vortrag-nk,arbeitet-ROOT
Innenverteidiger-sb,Abschluss-oa
Borchers-nk,antwortete-ROOT
Inhalte-oa,bestand-ROOT
Tragen-sb,OP-Masken-nk
Anspiel-Event-sb,liefert-ROOT
Frage-nk,sagte-ROOT
Tatsache-oa,verglich-ROOT
Flughafen-nk,reden-oc
Migration-nk,entscheiden-oc
Jochen-pnc,weiß-ROOT
Konjunkturprogramm-oa,sagte-ROOT
Stunden-oa,können-ROOT
Patienten-oa,befragen-ROOT
Zeiten-nk,schauen-oc
Janowitz-sb,Lustmord-nk
Festivaldirektor-sb,Lügen-nk
Liga-sb,vorgehen-oc
Qualifikation-sb,Sommer-nk
Exportschlager-nk,halten-ROOT
Wohnungen-sb,sehen-ROOT
Lothar-pnc,Verlobte-oa
Migration-nk,ändert-cj
Runden-nk,umlautet-ROOT
Rapper-sb,Rappern-nk
Rechtsradikale-sb,probieren-ROOT
Vietnam-nk,hieß-ROOT
Kind-sb,erteilt-ROOT
Maßnahme-sb,Samstag-nk
Fahrt-sb,senkt-ROOT
Merkel-nk,kämpfte-ROOT
Industrie-nk,sagte-ROOT
Verfilmung-sb,gescheitert-oc
Tragen-sb,Neutralitätsverlust-nk
Rio-pnc,Komitee-oa
Welt-sb,kommentiert-ROOT
Lage-nk,feststellen-ROOT
Warm-nk,ließ-sb
Sprecher-sb,beschreibt-ROOT
Szenenfoto-nk,führte-ROOT
Becker-sb,Spiel-nk
Fälle-oa,meldete-ROOT
Mitmenschen-oa,sollten-ROOT
Drama-sb,überlebte-cj
Angst-sb,Eindhoven-nk
Michael-pnc,Hölle-nk
Bayern-nk,wollen-ROOT
Weg-oa,lösen-ROOT
Stelle-nk,finden-ROOT
Iranerin-sb,starten-oc
Hut-nk,schrieb-ROOT
Gefühle-sb,Kulturen-nk
SPIEGEL-nk,solle-ROOT
Fehlerintervalle-sb,angeben-cj
Jahreskarte-nk,gilt-rc
Beamte-sb,sollen-ROOT
Mesa-nk,deklariert-oc
Erna-sb,Perücke-oa
TSG-oa,agierte-cj
Idee-sb,fragte-ROOT
Robert-pnc,Passau-nk
Anerkennung-nk,musste-ROOT
Germanys-nk,zusammenfassen-oc
Fußball-nk,soll-re
Grippe-nk,auswirkt-ROOT
Erfolg-nk,gratulierte-ROOT
Medizinern-sb,Dezember-nk
Geldgeber-nk,gedroht-cj
Umfragen-sb,User-IDs-nk
Halbrock-sb,Pensionierung-nk
Kostümierung-nk,aufgerissenen-nk
Blick-nk,sprechen-ROOT
PR-Fotos-sb,Klimaaktivistin-nk
Symbole-oa,sagt-ROOT
Dietmar-pnc,Spielunterbrechungen-nk
Feld-nk,kackt-ROOT
Start-sb,Wettkämpfen-nk
Landesverband-nk,teilt-ROOT
Paris-sb,stehe-oc
Leichen-nk,bezeichneten-ROOT
Nachfolger-oa,schob-ROOT
Schauspieler-sb,USA-nk
Fantasy-sb,sagt-ROOT
Haaren-nk,tun-oc
Unterbringung-nk,sagte-ROOT
Ministerpräsident-sb,Montag-nk
Großveranstaltung-nk,gibt-rc
Spirale-oa,befürchtet-ROOT
Dieter-pnc,konnte-ROOT
Reverse-nk,machen-ROOT
Urteilsabschrift-sb,Kopftuch-nk
Or-i-ginal-sb,DJ-oa
Kavala-nk,läge-cj
Wissenschaftler-sb,Begriff-oa
Aufmerksamkeit-nk,sonnte-ROOT
CEO-sb,Führungskräften-nk
Merz-sb,bemüht-ROOT
Teilnahme-oa,sagte-ROOT
Aussagen-sb,Wahl-nk
Alan-nk,ermordet-oc
Kappas-sb,hinzuschauen-mo
Casa-pnc,scheint-ROOT
de-pnc,Sommerspielen-nk
Freunde-oa,eingesetzt-oc
Kabinett-nk,gibt-oc
Zurzeit-sb,Carlo-nk
Schulen-oa,wollen-ROOT
Boot-sb,begleitet-oc
Station-sb,isoliert-pd
Iran-nk,trainiert-ROOT
Caligari-nk,gaben-ROOT
Nationalsozialismus-sb,Vortrag-nk
Sommerspiele-sb,Siege-oa
Produktion-sb,soll-ROOT
Musik-sb,Mainstream-nk
Brüssel-nk,gerichtet-cj
Xen-sb,Half-Life-nk
Ermittlungen-oa,führen-rc
Erwachsenen-oa,fand-ROOT
USA-nk,gekommen-oc
S.-nk,zeigen-ROOT
Hysterie-sb,Stadt-oa
Menschen-oa,gehören-rc
Kontakt-oa,müssen-ROOT
Spahn-sb,Verständnis-oa
Drehbuch-sb,Manuskript-nk
Person-nk,soll-cj
Alizadeh-sb,gegolten-oc
Verhoeven-nk,holte-ROOT
Rechtssuchenden-nk,fragt-cc
Krankheitsverlauf-nk,kommt-ROOT
Erdogan-sb,dürfte-ROOT
Text-oa,lesen-oc
Olaf-pnc,Schalkern-nk
Krebszentrum-nk,verspricht-cj
Bürger-sb,informieren-rc
Integrationsgipfel-sb,dürfte-ROOT
Urteile-sb,bestehen-ROOT
Besucher-sb,Karnevalabsage-nk
Link-nk,hören-oc
Befürchtung-sb,Gespräch-nk
Wolfgang-pnc,basiert-ROOT
Union-Fanblock-nk,bleibt-ROOT
Kollegen-sb,Mitarbeiter-oa
Times-sb,zitiert-ROOT
Resident-sb,Evil-nk
Kosten-nk,kommen-ROOT
Emotionen-nk,sagt-ROOT
Kernaufgaben-nk,bleiben-mo
Lösung-oa,gibt-mo
Wörter-sb,nehmen-oc
Daniel-pnc,Murillo-nk
Hansi-pnc,verdorben-oc
Weltkrieg-nk,sah-rc
Lesereisen-sb,erhielt-cj
Demokraten-nk,fürchten-ROOT
Mann-nk,verschwand-ROOT
Gesundheitssenatorin-sb,isoliert-oc
Tesla-sb,spricht-ROOT
Fragen-sb,dürfen-ROOT
Jahren-nk,verliebt-ROOT
Gefühle-oa,müsse-cj
Sperrungen-sb,abgelenkt-pd
Dittrich-sb,Digital-nk
Kind-sb,kursiert-ROOT
De-pnc,Hunter-nk
Regie-sb,Angelika-nk
Sars-CoV-2-nk,lassen-ROOT
Mitmachen-nk,gestellt-oc
Frankfurt-nk,landen-oc
Grafik-sb,"-nk
Mario-pnc,tat-ROOT
Unternehmen-sb,Wochenende-nk
Öffentlichkeit-sb,veröffentlicht-oc
Österreich-nk,anfangen-oc
Vater-sb,Verhoeven-nk
Rapper-oa,gibt-ROOT
Integrationsgipfel-nk,lädt-ROOT
Art-nk,nehmen-oc
Adam-pnc,hoffen-oc
Forscher-sb,sagen-oc
Führungsverhalten-nk,reden-oc
Xi-pnc,verschiebt-ROOT
Wieler-nk,rät-ROOT
Cardenal-sb,führte-rc
Gegenwart-nk,vergessen-mo
Vollgas-nk,sagt-mo
Senatsverwaltung-sb,gibt-ROOT
Hartmanns-nk,führte-ROOT
Sache-sb,Gefühlen-nk
Banken-nk,standardisiert-oc
Mädchen-nk,spielt-ROOT
Forscher-sb,Experimenten-nk
Distanz-nk,ausgestattet-cj
Wahrscheinlichkeit-sb,überwinden-oc
Wendler-nk,sah-ROOT
Strada-sb,Sole-nk
Brustkrebs-sb,Doherty-nk
Flüchtlingskomödie-sb,kam-rs
Nationalsozialismus-nk,brachten-ROOT
Notarzt-nk,kam-ROOT
Plänen-nk,soll-ROOT
Dichter-sb,Managua-nk
Sinsheim-nk,übergehen-oc
Christian-pnc,gehandelt-oc
Verband-nk,blockiert-oc
Meldungen-sb,Hunger-nk
Verhoeven-sb,Gerichtstermin-nk
Witzelei-sb,verlaufen-oc
Ferda-pnc,Geburtstag-nk
Wahl-sb,Beispiel-nk
Karriere-nk,beobachtet-cj
Hausbesichtigung-nk,gefühlt-nk
Dienst-PKW-nk,beschützt-cj
Italien-nk,arbeitet-ROOT
Ton-sb,Bundesliga-nk
Oberbürgermeister-sb,geliebt-oc
Täuschung-oa,warfen-rs
Kampf-nk,gäbe-ROOT
Elektrofahrzeugen-nk,investieren-cj
Thema-sb,Amt-oa
Zeitungen-sb,Holstenwall-nk
Park-nk,folgte-ROOT
Chrupalla-nk,sprechen-oc
Interview-nk,sagte-ROOT
Virus-sb,gibt-ROOT
Gannichwahr!"-Niveau-subtok,Zeitpunkt-nk
Sonntagsfrage-nk,kann-ROOT
Attentaten-nk,zogen-cj
Mensch-sb,lächelt-mo
Seehofer-sb,dürfte-ROOT
Passagiere-oa,bat-ROOT
Religionsfreiheit-sb,Stelle-nk
Geist-sb,verflogen-oc
Mitarbeiter-sb,handelt-ROOT
