German (de);Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen;
Abschiebung;0;1;1;0;0;1;0;1;0;0;
Abschied;0;0;0;0;0;0;0;1;0;0;
abschließend;1;0;0;0;0;0;0;0;0;0;
Abschluss;1;0;0;1;0;1;1;0;1;1;
Abschreibung;0;1;0;0;0;1;0;0;0;0;
abschweifen;0;1;0;1;0;0;0;0;0;0;
Absentismus;0;1;0;0;0;0;0;0;0;0;
absolut;1;0;0;0;0;0;0;0;0;0;
Absolution;1;0;0;0;0;0;1;0;0;1;
absondern;0;1;0;0;1;0;0;0;0;0;
absorbiert;1;0;0;0;0;0;0;0;0;0;
Absprache;0;1;1;0;1;1;0;1;0;0;
Abstammung;0;0;0;0;0;1;0;1;0;0;
Abstand;0;1;1;0;0;1;0;0;0;0;
Abstieg;0;1;0;0;0;0;0;0;0;0;
Abstimmung;1;0;0;1;0;0;0;0;0;1;
abstoßend;0;1;0;0;1;1;0;0;0;0;
Abstoßung;0;1;0;0;1;1;0;0;0;0;
Absturz;0;1;0;0;0;1;0;1;1;0;
absurd;0;1;0;0;0;0;0;0;0;0;
Absurdität;0;1;0;0;0;0;0;0;0;0;
Abszess;0;1;0;0;0;0;0;1;0;0;
Abt;0;0;0;0;0;0;0;0;0;1;
abträglich;0;1;1;0;1;1;0;0;0;0;
abtreibend;0;1;0;0;0;0;0;1;0;0;
Abtreibung;0;1;0;0;1;1;0;1;0;0;
abtreten;0;1;0;0;0;0;0;0;0;0;
Abwahl;0;1;0;0;0;0;0;0;0;0;
Abwasser;0;1;0;0;1;0;0;0;0;0;
abwechslungsreich;1;0;0;0;0;0;0;0;0;0;
abweichend;0;1;0;0;0;0;0;0;0;0;
abweichend;0;1;0;0;0;0;0;0;1;0;
Abweichung;0;0;0;0;0;0;0;1;0;0;
Abweichung;0;1;0;0;1;0;0;0;0;0;
abweisend;0;1;1;0;1;1;0;0;0;0;
abwerten;0;1;1;0;1;0;0;0;0;0;
abwesend;0;1;0;0;0;0;0;1;0;0;
Abwesenheit;0;1;0;0;0;1;0;1;0;0;
Abzeichen;0;0;0;0;0;0;0;0;0;1;
abziehen;0;1;0;0;0;0;0;0;0;0;
achtsam;1;0;0;0;0;0;0;0;0;0;
Achtsamkeit;1;0;0;0;0;0;0;0;0;0;
Achtung;0;1;0;0;0;1;0;1;0;0;
Acid;0;1;0;0;0;0;0;0;0;0;
Addierer;0;1;1;0;1;1;0;1;0;0;
Adel;1;0;0;1;0;0;0;0;0;1;
Adler;0;0;0;0;0;0;0;0;0;1;
administrativ;0;0;0;0;0;0;0;0;0;1;
Admiral;1;0;0;0;0;0;0;0;0;1;
Adressen;1;0;0;1;0;0;0;0;0;0;
adstringierend;0;1;0;0;0;0;0;0;0;0;
Advent;1;0;0;1;0;0;1;0;0;1;
aggressiv;0;1;1;0;0;1;0;0;0;0;
Aggressor;0;1;1;0;0;1;0;0;0;0;
agil;1;0;0;0;0;0;0;0;0;0;
Agitation;0;1;1;0;0;0;0;0;0;0;
Ahnen;0;0;0;0;0;0;0;0;0;1;
ähnlich;0;0;0;0;0;0;0;0;0;1;
Ahnung;0;1;0;1;0;1;0;0;0;0;
ahnungslos;0;0;0;0;0;0;0;0;1;0;
Akademie;1;0;0;0;0;0;0;0;0;0;
akademisch;1;0;0;0;0;0;0;0;0;1;
Akkolade;1;0;0;1;0;0;1;0;1;1;
akkreditiert;1;0;0;0;0;0;0;0;0;1;
Akkusativ;0;1;0;0;0;0;0;0;0;0;
Akrobat;1;0;0;0;0;1;1;0;0;1;
Aktion;1;0;0;0;0;0;0;0;0;0;
aktivieren;1;0;0;0;0;0;0;0;0;1;
akzeptabel;1;0;0;0;0;0;0;0;0;0;
Alabaster;1;0;0;0;0;0;0;0;0;0;
Alarm;0;1;0;0;0;1;0;0;1;0;
alarmierend;0;1;0;0;0;1;0;0;1;0;
albern;0;1;0;0;0;0;0;0;0;0;
Albtraum;0;1;0;0;0;1;0;0;0;0;
Alimente;0;1;0;0;0;0;0;0;0;0;
Alkohol;0;1;1;0;0;0;1;1;0;0;
Alkoholismus;0;1;1;0;1;1;0;1;0;0;
allegro;1;0;0;0;0;0;0;0;0;0;
Allgemeines;1;0;0;0;0;0;0;0;0;1;
Allheilmittel;1;0;0;0;0;0;0;0;0;0;
Allianz;0;0;0;0;0;0;0;0;0;1;
Allmacht;1;1;0;0;0;1;0;0;0;0;
allmächtig;1;0;0;0;0;0;0;0;0;0;
alltäglich;0;0;0;1;0;0;0;0;0;1;
allwissend;1;0;0;0;0;0;0;0;0;1;
Aloha;1;0;0;1;0;0;1;0;0;0;
ältere;1;0;0;0;0;0;0;0;0;1;
altersschwach;0;1;0;0;0;0;0;0;0;0;
Älteste;1;0;0;0;0;0;0;0;0;1;
Ambition;1;0;0;1;0;0;1;0;0;1;
Amen;1;0;0;0;0;0;1;0;0;1;
Ammoniak;0;0;0;0;1;0;0;0;0;0;
Amnesie;0;1;0;0;0;0;0;0;0;0;
Amnestie;1;0;0;0;0;0;1;0;0;0;
Amoklauf;0;1;1;0;0;1;0;0;0;0;
Amortisation;0;0;0;0;0;0;0;0;0;1;
Amphetamine;0;1;0;0;1;0;0;0;0;0;
Amtsuntreue;0;1;0;0;1;0;0;0;0;0;
Amüsement;1;0;0;0;0;0;1;0;0;0;
amüsieren;1;0;0;0;0;0;1;0;0;0;
amüsiert;1;0;0;0;0;0;1;0;0;0;
Anakonda;0;1;0;0;1;1;0;0;0;0;
anal;0;1;0;0;0;0;0;0;0;0;
Analphabet;0;1;0;0;1;0;0;0;0;0;
Analytiker;1;0;0;1;0;0;0;0;0;1;
Anarchie;0;1;1;0;0;1;0;0;0;0;
Anarchismus;0;1;1;0;0;1;0;0;0;0;
Anarchist;0;1;1;0;0;1;0;0;0;0;
Anathema;0;1;1;0;1;1;0;1;0;0;
Anbau;1;0;0;0;0;0;0;0;0;0;
Anbetung;1;0;0;0;0;0;1;0;0;1;
Anbetung;1;0;0;1;0;1;1;0;0;1;
anbraten;0;1;0;0;0;0;0;0;0;0;
Anchorage;1;0;0;0;0;0;0;1;0;0;
Andenken;1;0;0;0;0;0;0;0;0;0;
ändern;1;0;0;0;0;0;0;0;0;0;
anders;0;0;0;0;0;0;0;0;1;0;
Aneignung;0;1;0;0;0;0;0;0;0;0;
Anerkennung;1;0;0;0;0;0;1;0;0;1;
anfällig;0;1;0;0;0;0;0;0;0;0;
Anfang;0;0;0;1;0;0;0;0;0;0;
Anfrage;1;0;0;1;0;0;0;0;0;0;
angeblich;0;1;0;0;0;0;0;0;0;0;
Angebot;0;0;0;0;0;0;0;0;0;1;
Angebot;1;0;0;0;0;0;0;0;0;0;
angedockt;0;1;0;0;0;0;0;0;0;0;
angegliedert;1;0;0;0;0;0;0;0;0;0;
angehen;0;0;1;0;0;0;0;0;1;0;
Angeklagte;0;1;1;0;0;1;0;0;0;0;
Angeln;0;1;0;1;0;0;0;0;0;0;
Angemessenheit;1;0;0;0;0;0;0;0;0;0;
angenehm;1;0;0;1;0;0;1;0;1;1;
angespannt;0;1;1;0;0;0;0;0;0;0;
Angina;0;1;0;0;0;1;0;0;0;0;
angreifen;0;1;1;0;0;1;0;0;1;0;
angreifend;0;1;1;0;1;1;0;1;1;0;
Angreifer;0;1;1;0;0;1;0;1;0;0;
Angriff;0;1;1;0;0;1;0;0;0;0;
Angst;0;1;0;0;0;1;0;0;0;0;
ängstlich;0;1;0;0;0;1;0;1;1;0;
anhalten;0;1;0;0;0;1;0;1;0;0;
Anhänger;0;0;0;0;0;0;0;0;0;1;
animieren;1;0;0;0;0;0;0;0;0;0;
animiert;1;0;0;0;0;0;1;0;0;0;
Animus;0;1;1;0;0;0;0;0;0;0;
Anker;1;0;0;0;0;0;0;0;0;0;
Anklage;0;1;0;0;0;1;0;0;0;0;
anklagen;0;1;0;0;1;1;0;0;0;0;
anklagen;0;1;1;0;0;1;0;0;0;0;
Ankläger;0;1;1;0;0;1;0;0;0;0;
ankommen;0;0;0;1;0;0;0;0;0;0;
Ankündigung;0;0;0;1;0;0;0;0;0;0;
Ankunft;0;0;0;1;0;0;0;0;0;0;
Anleitung;0;0;0;1;0;0;0;0;0;1;
anmaßend;0;1;1;0;1;0;0;0;0;0;
Anmeldeinformationen;1;0;0;0;0;0;0;0;0;1;
Anmut;1;0;0;0;0;0;0;0;0;0;
anmutig;1;0;0;0;0;0;0;0;0;0;
Annäherung;0;0;0;1;0;0;0;0;0;0;
Annahme;1;0;0;0;0;0;0;0;0;0;
Annehmlichkeit;1;0;0;0;0;0;0;0;0;0;
annullieren;0;1;0;0;0;0;0;0;0;0;
anomal;0;1;0;0;0;0;0;0;0;0;
Anomalie;0;1;0;0;0;1;0;0;1;0;
anonym;0;1;0;0;0;0;0;0;0;0;
anpassen;1;0;0;0;0;0;0;0;0;0;
anpassungsfähig;1;0;0;0;0;0;0;0;0;0;
anprangern;0;1;1;0;1;0;0;0;0;0;
anregen;0;1;1;1;0;1;0;0;0;0;
anregen;1;0;1;1;0;1;1;0;1;0;
anrichten;0;1;1;0;0;0;0;0;0;0;
anrüchig;0;1;1;0;1;1;0;0;0;0;
Anrufe;0;1;0;1;0;0;0;0;0;1;
ansprechbar;1;0;0;1;0;0;0;0;0;1;
ansprechend;1;0;0;0;0;0;1;0;0;1;
anspruchsvoll;0;1;0;1;1;1;0;0;1;0;
Anstand;1;0;0;0;0;0;0;0;0;0;
ansteckend;0;1;0;0;1;1;0;0;0;0;
Ansteckung;0;1;0;1;1;1;0;0;0;0;
anstiften;0;1;0;0;0;0;0;0;0;0;
Anstiftung;0;1;0;0;0;0;0;0;0;0;
anstößig;0;1;0;0;0;0;0;0;0;0;
Anstrengung;1;0;0;0;0;0;0;0;0;0;
Antagonismus;0;1;1;0;0;0;0;0;0;0;
antagonistisch;0;1;1;0;1;0;0;0;0;0;
Antibiotika;1;0;0;0;0;0;0;0;0;0;
Antichrist;0;1;1;0;1;1;0;0;0;0;
Antike;0;1;0;0;0;0;0;0;0;0;
antimykotisch;1;0;0;0;0;0;0;0;0;1;
Antipathie;0;1;1;0;1;0;0;0;0;0;
Antiquität;1;0;0;0;0;0;0;0;0;0;
Antiseptikum;1;0;0;0;0;0;0;0;0;1;
Antithese;0;1;1;0;0;0;0;0;0;0;
Antragsteller;0;0;0;1;0;0;0;0;0;0;
anvertrauen;0;0;0;0;0;0;0;0;0;1;
Anwalt;0;1;1;0;1;1;0;0;0;0;
Anwärter;0;0;1;0;1;0;0;0;0;0;
anweisen;1;0;0;0;0;0;0;0;0;1;
Anweisung;1;0;0;0;0;0;0;0;0;1;
Anzahl;1;0;0;0;0;0;0;0;0;1;
Apache;0;1;0;0;0;1;0;0;0;0;
Apathie;0;1;0;0;0;0;0;1;0;0;
apathisch;0;1;0;0;0;0;0;1;0;0;
Apfelwein;1;0;0;0;0;0;0;0;0;0;
Apostel;1;0;0;0;0;0;0;0;0;1;
apostolisch;0;0;0;0;0;0;0;0;0;1;
Appendizitis;0;1;0;0;0;1;0;1;0;0;
Arbeit;1;0;0;1;0;0;1;0;1;1;
Arbeiten;1;0;0;0;0;0;0;0;0;0;
arbeitete;0;1;0;0;0;0;0;1;0;0;
arbeitslos;0;1;0;0;0;1;0;1;0;0;
archaisch;0;1;0;0;0;0;0;0;0;0;
Archäologie;1;0;0;1;0;0;0;0;0;0;
Architektur;0;0;0;0;0;0;0;0;0;1;
Ärger;0;1;1;0;1;0;0;0;0;0;
ärgerlich;0;1;1;0;1;0;0;0;0;0;
Ärgernis;0;1;1;0;0;0;0;0;0;0;
Argumentation;0;0;1;0;0;0;0;0;0;0;
argumentativ;0;1;0;0;0;0;0;0;0;0;
Argumente;0;0;1;0;0;0;0;0;0;0;
Aristokratie;1;0;0;0;0;0;0;0;0;0;
aristokratisch;1;0;0;0;0;0;0;0;0;0;
Armut;0;1;1;0;1;1;0;1;0;0;
Aroma;1;0;0;0;0;0;0;0;0;0;
Array;1;0;0;0;0;0;0;0;0;0;
arrogant;0;1;1;0;1;0;0;0;0;0;
Arroganz;0;1;0;0;0;0;0;0;0;0;
Arsch;0;1;0;0;0;0;0;0;0;0;
Arschloch;0;1;1;0;1;0;0;0;0;0;
Arsen;0;1;0;0;1;1;0;1;0;0;
Art;1;0;0;0;0;0;0;0;0;0;
Artikulation;1;0;0;0;0;0;0;0;0;0;
artikulieren;1;0;0;0;0;0;0;0;0;0;
Artillerie;0;1;0;0;0;1;0;0;0;0;
Artillerie;0;1;0;0;0;1;0;0;0;0;
Arzt;1;0;0;0;0;0;0;0;0;1;
Arzt;1;0;0;0;0;0;0;0;0;1;
Asche;0;1;0;0;0;0;0;0;0;0;
Asche;0;1;0;0;0;0;0;1;0;0;
Aspiration;1;0;0;1;0;0;1;0;1;1;
Ass;1;0;0;0;0;0;0;0;0;0;
assoziieren;1;0;0;0;0;0;0;0;0;1;
Ästhetik;1;0;0;0;0;0;1;0;0;0;
ästhetisch;1;0;0;0;0;0;0;0;0;0;
ästhetisch;1;0;0;0;0;0;0;0;0;0;
Astrologe;1;0;0;1;0;0;0;0;0;0;
Astronaut;1;0;0;0;0;0;0;0;0;0;
Astronom;1;0;0;1;0;0;0;0;0;0;
Asyl;0;1;0;0;0;1;0;0;0;0;
Asymmetrie;0;0;0;0;1;0;0;0;0;0;
Atheismus;0;1;0;0;0;0;0;0;0;0;
ätherisch;0;0;0;0;0;1;0;0;0;0;
Atherosklerose;0;1;0;0;0;1;0;1;0;0;
Athlet;1;0;0;0;0;0;0;0;0;0;
Atom;1;0;0;0;0;0;0;0;0;0;
Atrophie;0;1;0;0;1;1;0;1;0;0;
Attacke;0;1;1;0;0;0;0;0;0;0;
Attacke;0;1;1;0;0;1;0;0;0;0;
Attentäter;0;1;1;0;0;1;0;1;0;0;
Attraktion;1;0;0;0;0;0;0;0;0;0;
Attraktivität;1;0;0;0;0;0;0;0;0;0;
Attrappe;0;1;0;0;0;0;0;0;0;0;
ätzend;0;1;0;0;0;1;0;0;0;0;
Aufbewahrung;0;0;0;0;0;0;0;0;0;1;
aufdecken;0;0;0;0;0;0;0;0;1;0;
aufdringlich;0;1;1;0;1;1;0;0;1;0;
auffallend;1;0;0;0;0;0;0;0;0;0;
auffällig;0;1;0;0;0;0;0;0;0;0;
Auffassung;0;1;0;0;0;1;0;0;0;0;
Aufgabe;1;0;0;0;0;0;0;0;0;0;
Aufgabe;0;1;1;0;0;1;0;1;1;0;
aufgeben;0;1;0;0;0;0;0;1;0;0;
aufgebläht;0;1;0;0;1;0;0;0;0;0;
aufgeblasen;0;1;0;0;0;0;0;0;0;0;
aufgegeben;0;1;0;0;0;0;0;1;0;0;
aufgegebenen;0;1;1;0;0;0;0;1;0;0;
aufgeregt;0;1;1;0;0;0;0;0;0;0;
aufgeregt;1;0;0;1;0;0;1;0;1;1;
aufgeschoben;0;1;0;0;0;0;0;0;0;0;
aufhalten;0;1;0;0;0;0;0;0;0;0;
aufheben;0;1;0;0;0;0;0;0;0;0;
Aufhebung;0;1;0;0;0;0;0;1;0;0;
aufhellen;1;0;0;0;0;0;1;0;1;1;
aufklären;1;0;0;0;0;0;0;0;0;1;
Aufklärung;1;0;0;0;0;0;1;0;0;1;
Auflage;0;0;0;1;0;0;0;0;0;0;
Auflösung;0;1;1;0;0;1;0;1;1;0;
aufmerksam;1;0;0;0;0;0;0;0;0;0;
aufmerksam;1;0;0;0;0;0;0;0;0;1;
Aufnahme;0;0;0;0;0;0;0;0;0;1;
aufrecht;1;0;0;0;0;0;0;0;0;1;
aufregend;1;0;0;1;0;0;1;0;1;0;
Aufregung;0;1;1;0;0;0;0;0;0;0;
Aufregung;0;1;1;0;0;0;0;1;0;0;
Aufregung;1;0;0;1;0;0;1;0;1;0;
aufrichtig;1;0;0;0;0;0;0;0;0;1;
Aufrichtigkeit;1;0;0;0;0;0;0;0;0;0;
Aufruf;0;0;0;1;0;0;0;0;0;1;
aufrufen;0;0;0;1;0;0;0;0;0;0;
Aufruhr;0;1;0;0;0;0;0;0;0;0;
Aufruhr;0;1;1;0;0;0;0;1;0;0;
Aufruhr;0;1;1;0;0;1;0;1;0;0;
aufrührerisch;0;1;1;0;0;1;0;0;1;0;
Aufschrei;0;1;1;0;0;1;0;0;1;0;
Aufschub;1;0;0;0;0;0;1;0;0;1;
Aufseher;0;1;1;0;0;1;0;0;0;1;
Aufsicht;0;1;0;0;0;0;0;0;0;0;
Aufspaltung;0;1;0;0;0;0;0;1;0;0;
Aufstand;0;1;1;0;0;0;0;0;0;0;
Aufstand;0;1;1;1;0;1;0;0;0;0;
Aufständische;0;1;0;0;0;0;0;0;0;0;
Aufstieg;1;0;0;0;0;0;0;0;0;0;
Aufstoßen;0;0;0;0;1;0;0;0;0;0;
aufstrebend;1;0;0;1;0;0;1;0;0;1;
Auftrag;1;0;0;1;0;0;0;0;0;1;
aufwendig;1;0;0;0;0;0;0;0;0;0;
Augenbinde;0;0;0;1;0;1;0;0;1;0;
Augenzeuge;0;0;0;0;0;0;0;0;0;1;
August;1;0;0;0;0;0;0;0;0;0;
Aura;1;0;0;0;0;0;0;0;0;0;
Ausarbeitung;1;0;0;0;0;0;0;0;0;0;
ausbessern;1;0;0;0;0;0;0;0;0;0;
ausbrechen;0;1;1;0;0;0;0;0;1;0;
Ausbruch;1;1;1;0;0;1;1;1;1;0;
Ausdauer;1;0;0;0;0;0;0;0;0;0;
Ausdauer;1;0;0;0;0;0;0;0;0;1;
Auseinandersetzung;0;1;1;0;0;0;0;0;0;0;
Ausfall;0;1;0;0;0;1;0;0;0;0;
Ausfallschritt;0;0;0;0;0;0;0;0;1;0;
Ausflug;0;0;0;0;0;0;0;0;1;0;
Ausführlichkeit;0;1;0;0;0;0;0;0;0;0;
Ausführung;0;1;1;0;0;1;0;1;0;1;
Ausgaben;0;1;0;0;0;0;0;0;0;0;
ausgefallen;0;1;0;0;0;0;0;0;0;0;
ausgefranst;0;1;0;0;0;0;0;1;0;0;
ausgelassen;1;0;0;0;0;0;1;0;0;0;
ausgelöscht;0;1;1;0;0;1;0;0;0;0;
ausgerenkt;0;1;1;0;1;1;0;1;0;0;
ausgeschlossen;0;1;0;0;1;0;0;1;0;0;
ausgesetzt;0;1;0;0;0;0;0;0;0;0;
ausgestattet;1;0;0;0;0;0;0;0;0;0;
ausgestorben;0;1;0;0;0;0;0;1;0;0;
ausgestoßen;0;1;0;0;1;1;0;1;0;0;
ausgewogen;1;0;0;0;0;0;0;0;0;0;
Ausgezeichnet;1;0;0;0;0;0;1;0;0;1;
Ausgleichs;1;0;0;0;0;0;0;0;0;0;
Ausgrabung;0;1;0;1;0;0;0;0;1;0;
Ausländer;0;1;0;0;0;1;0;0;0;0;
Ausländer;0;1;0;0;1;1;0;0;0;0;
ausländisch;0;1;0;0;0;0;0;0;0;0;
auslassen;0;1;0;0;0;0;0;0;0;0;
auslöschen;0;1;1;0;0;1;0;1;0;0;
Auslöschung;0;1;0;0;0;1;0;1;0;0;
Auslösung;0;1;1;0;0;0;0;1;0;0;
Ausnahmeregelung;0;1;1;0;1;1;0;1;0;0;
Auspuff;0;1;0;0;0;0;0;0;0;0;
auspusten;0;1;0;0;0;0;0;0;0;0;
Ausrede;0;1;0;0;0;0;0;0;0;0;
ausrotten;0;1;1;0;0;0;0;0;0;0;
Ausrottung;0;1;1;0;1;1;0;0;0;0;
ausrufen;0;0;0;0;0;0;0;0;1;0;
ausruhen;1;0;0;0;0;0;0;0;0;0;
Ausrüstung;1;0;0;0;0;0;0;0;0;0;
Ausscheidung;0;0;0;0;1;0;0;0;0;0;
Ausschlag;0;1;0;0;1;0;0;0;0;0;
ausschließen;0;0;1;0;0;0;0;0;0;0;
ausschließen;0;1;0;0;0;1;0;1;0;0;
Ausschluss;0;1;0;0;1;1;0;1;0;0;
Ausschuss;0;0;0;0;0;0;0;0;0;1;
Ausschuss;0;1;0;0;0;0;0;0;0;0;
Ausschweifung;0;1;0;0;1;1;0;0;0;0;
Außenseiter;0;0;0;0;0;1;0;0;0;0;
außergerichtliche;0;1;0;0;0;1;0;0;0;0;
außergewöhnlich;1;0;0;0;0;0;0;0;0;0;
äusserst;1;0;0;0;0;0;0;0;0;0;
Aussicht;1;0;0;0;0;0;0;0;0;0;
aussichtslos;0;1;0;0;0;0;0;1;0;0;
Ausstattung;1;0;0;0;0;0;0;0;0;1;
Austausch;1;0;0;0;0;0;0;0;0;1;
Ausweichen;0;1;0;0;0;1;0;1;0;0;
ausweichen;0;1;1;0;1;1;0;0;0;0;
auswerfen;0;1;0;0;0;0;0;0;0;0;
Auswurf;0;1;0;0;0;0;0;0;0;0;
authentifizieren;0;0;0;0;0;0;0;0;0;1;
Authentifizierung;0;0;0;0;0;0;0;0;0;1;
authentisch;1;0;0;0;0;0;1;0;0;1;
Authentizität;1;0;0;0;0;0;0;0;0;1;
autokratisch;0;1;0;0;0;0;0;0;0;0;
automatisch;0;0;0;0;0;0;0;0;0;1;
Autopsie;0;1;0;0;1;1;0;1;0;0;
Autor;1;0;0;0;0;0;0;0;0;1;
autorisieren;0;0;0;0;0;0;0;0;0;1;
autorisiert;1;0;0;0;0;0;0;0;0;0;
Axiom;0;0;0;0;0;0;0;0;0;1;
axiomatisch;0;0;0;0;0;0;0;0;0;1;
Baby;1;0;0;0;0;0;1;0;0;0;
Babysitter;0;0;0;0;0;0;0;0;0;1;
Bad;1;0;0;0;0;0;0;0;0;0;
Bahre;0;0;0;0;0;1;0;1;0;0;
Bahre;0;1;0;0;0;1;0;1;0;0;
Bajonett;0;1;1;0;0;1;0;0;0;0;
Bakterien;0;1;0;0;1;1;0;1;0;0;
Bakterium;0;1;0;0;1;1;0;0;0;0;
Balance;1;0;0;0;0;0;0;0;0;0;
Balg;0;0;1;0;0;0;0;0;0;0;
Balken;0;1;0;0;0;0;0;0;0;0;
Ballade;1;0;0;0;0;0;0;0;0;0;
Ballen;0;1;0;0;0;1;0;0;0;0;
Ballett;1;0;0;0;0;0;0;0;0;0;
Balsam;1;0;0;0;0;0;0;0;0;0;
Balsam;1;1;0;1;0;0;1;0;0;0;
Balz;1;0;0;1;0;0;1;0;0;1;
Band;1;0;1;1;0;0;1;0;0;0;
Bandit;0;1;0;0;0;0;0;0;0;0;
bange;0;1;0;0;0;1;0;0;0;0;
Banger;0;1;1;1;0;1;0;0;1;0;
Bank;0;0;0;0;0;0;0;0;0;1;
Banker;0;0;0;0;0;0;0;0;0;1;
Bankett;1;0;0;1;0;0;1;0;0;0;
Banshee;0;1;1;0;1;1;0;1;0;0;
Bär;0;0;1;0;0;1;0;0;0;0;
Barbar;0;1;0;0;0;1;0;0;0;0;
Barbarei;0;1;0;0;0;0;0;0;0;0;
barbarisch;0;1;1;0;1;1;0;0;0;0;
Barde;1;0;0;0;0;0;0;0;0;0;
Bärendienst;0;1;1;0;1;0;0;1;0;0;
bärisch;0;0;1;0;0;1;0;0;0;0;
Barmann;0;0;0;0;0;0;0;0;0;1;
barmherzig;1;0;0;0;0;0;0;0;0;0;
Barmherzigkeit;1;0;0;0;0;1;0;0;0;0;
Barriere;0;1;1;0;0;0;0;0;0;0;
Barrikade;0;1;0;0;0;1;0;0;0;0;
Base;0;0;0;0;0;0;0;0;0;1;
Basketball;1;0;0;1;0;0;1;0;0;0;
Bastard;0;1;0;0;1;0;0;1;0;0;
Bastion;1;0;1;0;0;0;0;0;0;0;
Bataillon;0;0;1;0;0;0;0;0;0;0;
Batterie;0;1;1;0;0;0;0;0;0;0;
Bauch;0;0;0;0;1;0;0;0;0;0;
bauchig;0;1;0;0;0;0;0;0;0;0;
bauen;1;0;0;0;0;0;0;0;0;0;
Bauernhof;0;0;0;1;0;0;0;0;0;0;
baufällig;0;1;0;0;1;0;0;1;0;0;
Baum;1;0;1;1;1;0;1;0;1;1;
beabsichtigt;1;0;0;1;0;0;0;0;0;0;
Beachtung;1;0;0;0;0;0;0;0;0;0;
Beachtung;1;0;0;0;0;0;0;0;0;1;
Beben;0;0;0;0;0;1;0;0;0;0;
Becher;1;1;1;0;0;1;0;1;0;0;
bedauerlich;0;1;0;0;0;0;0;1;0;0;
Bedauern;0;1;0;0;0;0;0;1;0;0;
bedauern;0;1;1;0;1;0;0;1;0;0;
bedeckt;0;1;0;0;0;0;0;0;0;0;
bedeuten;0;0;0;1;0;0;0;0;0;0;
Bedeutung;1;0;0;0;0;0;0;0;0;0;
Bedeutung;1;0;0;1;0;0;0;0;0;0;
